Dish_Name,Calories_100g,Protein_100g,Fat_100g,Carbs_100g,Portion_Unit,Calories_Portion
orange milkshake (narangi milkshake),57.41502380371094,1.8647887706756592,2.5239436626434326,7.10704231262207,tall glass,183.4409942626953
egg nog,97.14144897460938,4.776309490203857,5.11044454574585,8.145041465759277,tall glass,294.8243103027344
sweet lassi (meethi lassi),35.66101837158203,1.2881355285644531,0.6779661178588867,6.508474826812744,tall glass,157.8000030517578
lassi (salted),18.844942092895508,1.3549379110336304,0.7186296582221985,1.856243371963501,tall glass,79.76121520996094
cheese and chilli sandwich,218.1146697998047,6.795605182647705,9.780448913574219,27.40143394470215,triangle,121.59893035888672
egg sandwich (ande ka sandwich),285.95709228515625,8.694679260253906,15.797734260559082,29.15723991394043,triangle,145.12322998046875
cucumber sandwich (kheere ka sandwich),188.597900390625,4.798436164855957,7.997695446014404,25.76510238647461,triangle,114.57322692871094
cheese and pineapple sandwich (cheese aur ananas ka sandwich),257.7143249511719,8.196501731872559,12.797489166259766,29.101882934570312,triangle,143.6757354736328
cheese and tomato sandwich (cheese aur tamatar ke sandwich),243.31991577148438,7.9185404777526855,12.274420738220215,26.92240333557129,triangle,141.73385620117188
chicken sandwich,253.27267456054688,13.124119758605957,11.748669624328613,25.377338409423828,triangle,147.5313262939453
peanut and tomato sandwich (moongfali aur tamatar ka sandwich),291.4269104003906,9.528888702392578,16.13761329650879,28.544937133789062,triangle,177.04185485839844
rainbow sandwich,272.75140380859375,7.746617794036865,12.539576530456543,34.263946533203125,triangle,130.443359375
club sandwich,235.3241729736328,7.3101277351379395,15.121536254882812,18.508420944213867,triangle,206.79112243652344
vegetarian club sandwich,198.32925415039062,5.451312065124512,11.329170227050781,19.684192657470703,triangle,164.36537170410156
pin wheel sandwich,311.5205993652344,8.766905784606934,24.934709548950195,14.004125595092773,triangle,86.83636474609375
carrot apple sandwich (gajar aur seb ka sandwich),214.11184692382812,5.297377586364746,9.123984336853027,29.04496192932129,triangle,208.22377014160156
salami sandwich,255.5937042236328,8.695690155029297,15.509899139404297,21.538450241088867,triangle,189.7783203125
vegetable and mayonnaise sandwich,244.2624969482422,4.473674774169922,15.398404121398926,23.201412200927734,triangle,166.83128356933594
egg and tomato sandwich (ande aur tamatar ka sandwich),222.1063690185547,7.655546188354492,10.509202003479004,25.903024673461914,triangle,132.15328979492188
sweet open sandwich,244.2458038330078,4.985423564910889,8.153898239135742,39.24372863769531,triangle,144.1050262451172
mushroom and cheese sandwich (toasted),227.4191131591797,7.785544395446777,13.008052825927734,21.012937545776367,triangle,172.2699737548828
cheese and tomato sandwich (toasted) (cheese aur tamatar ke sandwich (toasted)),224.5795135498047,6.821847915649414,12.951947212219238,21.415576934814453,triangle,170.1189727783203
pea potato sandwich (toasted) (matar aloo ka sandwich),164.90065002441406,4.604915618896484,5.42716121673584,25.16836166381836,toasted triangle,146.55545043945312
paneer pea sandwich (toasted) (paneer matar ka sandwich),249.55572509765625,12.400134086608887,11.975685119628906,24.052186965942383,toasted triangle,221.7926483154297
chicken sandwich (toasted),167.36798095703125,12.081052780151367,5.315614223480225,18.81935691833496,toasted triangle,143.09962463378906
pea keema sandwich (toasted) (matar aur keema ka sandwich),171.77516174316406,11.055025100708008,5.611410140991211,20.25550651550293,toasted triangle,145.39048767089844
classic club sandwich,200.83099365234375,6.73637580871582,11.56259536743164,18.491588592529297,triangle,448.8572998046875
